 #FEATURIZER_NAME=TextNGramFeaturizer
 #FEATURIZER_VERSION=1.0.0
 #CHAR_NGRAM_N=3
 #CHAR_SKIPGRAM_N=0
 #WORD_NGRAM_N=0
 #MAX_FEATURES=-1
 #USE_DISTINCT_FEATURES_PER_SAMPLE=False
 #SELECTION_THRESHOLD=0.5
 #DATA_DATETIME=2018-04-20 22:26:02Z
 #DATA_SIZE=16301
 #FEATURES_COUNT=420
 #DENSE_FEATURES=WhiteSpaceCount,SampleLength

 FeatureName	FeatureId
WhiteSpaceCount	0
SampleLength	1
i	2
S	3
p	4
r	5
e	6
f	7
t	8
o	9
g	10
x	11
u	12
d	13
a	14
s	15
iS	16
SS	17
Sp	18
pr	19
re	20
ef	21
fe	22
er	23
rS	24
St	25
to	26
oS	27
Sg	28
ge	29
et	30
tS	31
te	32
ex	33
xt	34
Su	35
up	36
pd	37
da	38
at	39
es	40
eS	41
iSp	42
SSp	43
Spr	44
pre	45
ref	46
efe	47
fer	48
erS	49
rSt	50
Sto	51
toS	52
oSg	53
Sge	54
get	55
etS	56
tSt	57
Ste	58
tex	59
ext	60
xtS	61
tSu	62
Sup	63
upd	64
pda	65
dat	66
ate	67
tes	68
teS	69
c	70
v	71
h	72
n	73
l	74
Sr	75
ec	76
ce	77
ei	78
iv	79
ve	80
ph	81
ho	82
on	83
ne	84
Sc	85
ca	86
al	87
ll	88
lS	89
oSr	90
Sre	91
rec	92
ece	93
cei	94
eiv	95
ive	96
veS	97
eSp	98
Sph	99
pho	100
hon	101
one	102
neS	103
eSc	104
Sca	105
cal	106
all	107
alS	108
m	109
y	110
se	111
Se	112
Sm	113
my	114
yS	115
co	116
om	117
mm	118
mu	119
un	120
ni	121
ic	122
ti	123
io	124
nS	125
en	126
nc	127
set	128
Set	129
tSm	130
Smy	131
myS	132
ySc	133
Sco	134
com	135
omm	136
mmu	137
mun	138
uni	139
nic	140
ica	141
cat	142
ati	143
tio	144
ion	145
onS	146
nSp	147
ere	148
ren	149
enc	150
nce	151
ceS	152
eSt	153
oSp	154
w	155
nd	156
dS	157
me	158
Sa	159
aS	160
ss	161
sa	162
ag	163
Si	164
in	165
ou	166
uc	167
ch	168
hS	169
Sw	170
wi	171
it	172
th	173
mS	174
sen	175
Sen	176
end	177
ndS	178
dSm	179
Sme	180
meS	181
eSa	182
SaS	183
aSt	184
mes	185
ess	186
ssa	187
sag	188
age	189
geS	190
tSi	191
Sin	192
inS	193
nSt	194
tou	195
ouc	196
uch	197
chS	198
hSw	199
Swi	200
wit	201
ith	202
thS	203
hSm	204
SmS	205
he	206
el	207
lo	208
hel	209
Sel	210
ell	211
llo	212
llS	213
hi	214
b	215
Sb	216
bo	217
ot	218
hiS	219
SiS	220
iSb	221
Sbo	222
bot	223
boS	224
loS	225
oSb	226
iy	227
ya	228
hiy	229
Siy	230
iya	231
iyS	232
So	233
ow	234
wS	235
Ss	236
sh	237
ul	238
ld	239
ad	240
dd	241
dr	242
sS	243
Sy	244
yo	245
how	246
Sow	247
owS	248
wSs	249
Ssh	250
sho	251
hou	252
oul	253
uld	254
ldS	255
dSi	256
iSa	257
Sad	258
add	259
ddr	260
dre	261
res	262
ssS	263
sSy	264
Syo	265
you	266
yoS	267
wh	268
Sh	269
ar	270
who	271
Sho	272
hoS	273
oSa	274
Sar	275
are	276
reS	277
eSy	278
ha	279
ur	280
Sn	281
na	282
am	283
wha	284
Sha	285
hat	286
atS	287
tSs	288
SsS	289
our	290
urS	291
rSn	292
Sna	293
nam	294
ame	295
amS	296
is	297
Sis	298
isS	299
eo	300
oSi	301
rSc	302
Sce	303
ceo	304
wn	305
ns	306
nt	307
os	308
so	309
af	310
fS	311
oSo	312
own	313
wns	314
nsS	315
sSc	316
con	317
ont	318
nto	319
tos	320
oso	321
soS	322
oSc	323
caf	324
afe	325
afS	326
k	327
uS	328
Sl	329
oo	330
ok	331
ki	332
ng	333
gS	334
Sf	335
fo	336
or	337
ba	338
rr	339
ri	340
st	341
ta	342
ouS	343
uSl	344
Slo	345
loo	346
ook	347
oki	348
kin	349
ing	350
ngS	351
gSf	352
Sfo	353
for	354
orS	355
rSa	356
aSb	357
Sba	358
bar	359
arr	360
rri	361
ris	362
ist	363
sta	364
stS	365
oc	366
tSa	367
rSl	368
loc	369
oca	370
ons	371
j	372
do	373
av	374
Sj	375
jo	376
ob	377
bS	378
op	379
pe	380
gs	381
doS	382
SoS	383
oSy	384
uSh	385
hav	386
ave	387
eSj	388
Sjo	389
job	390
obS	391
bSo	392
Sop	393
ope	394
pen	395
eni	396
nin	397
ngs	398
an	399
wo	400
rk	401
kS	402
can	403
San	404
anS	405
nSi	406
iSc	407
ome	408
eSw	409
Swo	410
wor	411
ork	412
rkS	413
kSf	414
ir	415
Shi	416
hir	417
iri	418
rin	419
