Label	Weight	Text
l_cafebotluisapp420257_communication preference	1.166667	i prefer to get text updates
l_cafebotluisapp420257_communication preference	1.166667	i prefer to receive phone call
l_cafebotluisapp420257_communication preference	1.166667	set my communication preference to phone call
l_cafebotluisapp420257_communication preference	1.166667	send me a text message to get in touch with me
l_cafebotluisapp420257_communication preference	1.166667	i prefer to get text updates
l_cafebotluisapp420257_communication preference	1.166667	i prefer to receive phone call
l_cafebotluisapp420257_communication preference	1.166667	set my communication preference to phone call
l_cafebotluisapp420257_communication preference	1.166667	send me a text message to get in touch with me
l_cafebotluisapp420257_communication preference	1.166667	i prefer to get text updates
l_cafebotluisapp420257_communication preference	1.166667	i prefer to receive phone call
l_cafebotluisapp420257_communication preference	1.166667	set my communication preference to phone call
l_cafebotluisapp420257_communication preference	1.166667	send me a text message to get in touch with me
l_cafebotluisapp420257_greeting	1.4	hello
l_cafebotluisapp420257_greeting	1.4	hi
l_cafebotluisapp420257_greeting	1.4	hi bot
l_cafebotluisapp420257_greeting	1.4	hello bot
l_cafebotluisapp420257_greeting	1.4	hiya
l_cafebotluisapp420257_greeting	1.4	hello
l_cafebotluisapp420257_greeting	1.4	hi
l_cafebotluisapp420257_greeting	1.4	hi bot
l_cafebotluisapp420257_greeting	1.4	hello bot
l_cafebotluisapp420257_greeting	1.4	hiya
l_cafebotluisapp420257_who are you intent	1.166667	how should i address you?
l_cafebotluisapp420257_who are you intent	1.166667	who are you?
l_cafebotluisapp420257_who are you intent	1.166667	what's your name?
l_cafebotluisapp420257_who are you intent	1.166667	what is your name?
l_cafebotluisapp420257_who are you intent	1.166667	how should i address you?
l_cafebotluisapp420257_who are you intent	1.166667	who are you?
l_cafebotluisapp420257_who are you intent	1.166667	what's your name?
l_cafebotluisapp420257_who are you intent	1.166667	what is your name?
l_cafebotluisapp420257_who are you intent	1.166667	how should i address you?
l_cafebotluisapp420257_who are you intent	1.166667	who are you?
l_cafebotluisapp420257_who are you intent	1.166667	what's your name?
l_cafebotluisapp420257_who are you intent	1.166667	what is your name?
q_cafebot	1	who is your ceo
q_cafebot	1	who owns contoso cafe
q_cafebot	1	are you looking for a barrista
q_cafebot	1	what are your locations
q_cafebot	1	do you have job openings?
q_cafebot	1	can i come work for contoso cafe?
q_cafebot	1	are you hiring
q_cafebot	1	who is your ceo
q_cafebot	1	who owns contoso cafe
q_cafebot	1	are you looking for a barrista
q_cafebot	1	what are your locations
q_cafebot	1	do you have job openings?
q_cafebot	1	can i come work for contoso cafe?
q_cafebot	1	are you hiring
